scenario,avg_te_trt_adj_km,avg_se_trt_adj_km,relative_bias_trt_adj_km,coverage_prop_trt_adj_km,avg_te_trt_cens_adj_km,avg_se_trt_cens_adj_km,relative_bias_trt_cens_adj_km,coverage_prop_trt_cens_adj_km,avg_te_cens_adj_km,avg_se_cens_adj_km,relative_bias_cens_adj_km,coverage_prop_cens_adj_km,avg_te_cens_trt_adj_km,avg_se_cens_trt_adj_km,relative_bias_cens_trt_adj_km,coverage_prop_cens_trt_adj_km
scen1,0.1448689626785436,0.029061059756294184,0.20724135565453003,0.84,0.13908195664034104,0.04309294877014584,0.15901630533617533,0.93,0.139464247350118,0.031075148119171007,0.16220206125098338,0.9,0.14077411290844816,0.026313802457524155,0.17311760757040132,0.84
scen2,0.13638455807361274,0.03447789222013035,0.13653798394677302,0.89,0.130732993250462,0.03763227732067406,0.08944161042051675,0.91,0.12848746905588687,0.03130994638410306,0.07072890879905727,0.89,0.1361344314713991,0.03258439914870425,0.13445359559499248,0.89
scen3,0.1429107874362769,0.06637828555206712,0.1909232286356408,0.91,0.14515013825433898,0.06875129227514237,0.20958448545282488,0.89,0.1299172497739092,0.031373348990128495,0.08264374811591008,0.9,0.13959932681197934,0.06594477456640581,0.16332772343316115,0.91
scen4,0.016285560226607092,0.031188211348167957,0.16325430190050666,0.93,0.024714074747224514,0.047969939742666876,0.7652910533731795,0.97,0.014294263109767532,0.03428669682801497,0.021018793554823657,0.92,0.013160679482429247,0.028034352749198195,-0.05995146554076796,0.93
scen5,0.016713878052185476,0.03618024468062732,0.1938484322989626,0.91,0.01820461654072471,0.040658382662250275,0.30032975290890807,0.93,0.0070210604445146065,0.034217834228941514,-0.49849568253467097,0.97,0.016609531477885114,0.03296013109892659,0.18639510556322228,0.91
scen6,0.025927036047481207,0.07562109024744791,0.8519311462486576,0.92,0.03069755898052558,0.08151578299249299,1.1926827843232557,0.91,0.004565418492181972,0.034069048919438745,-0.6738986791298591,0.89,0.02146920535968839,0.07507923360672411,0.5335146685491706,0.91
scen7,0.12401721515482872,0.03181701088296467,0.033476792956906,0.95,0.11483841351775256,0.04013567675734898,-0.04301322068539522,0.98,0.11776280930873881,0.031985846421796374,-0.018643255760509837,0.95,0.12333719704727991,0.02979470892795654,0.027809975393999282,0.95
scen8,0.12378913272515328,0.03585354422219899,0.03157610604294408,0.92,0.11131684371323862,0.03706796965202586,-0.07235963572301143,0.95,0.11640383051838606,0.03111587503685891,-0.02996807901344949,0.97,0.12435337804462435,0.03411970584715597,0.03627815037186962,0.87
scen9,0.1326254743576597,0.056302001530219976,0.10521228631383099,0.87,0.1192229965681569,0.05704115086509345,-0.00647502859869246,0.95,0.12301576759507112,0.03132221711209643,0.025131396625592724,0.92,0.13310770057661203,0.055892727402871024,0.10923083813843358,0.9
scen10,0.014278304724008527,0.03513056995867526,0.019878908857751922,0.89,0.015194895069261626,0.045066037401860354,0.08534964780440184,0.94,0.013672973994425266,0.03595843920644468,-0.023359000398195252,0.91,0.015803743978975823,0.0320842737561642,0.12883885564113012,0.94
scen11,0.01199804931464798,0.04017992965967655,-0.14299647752514427,0.91,0.012685143626057537,0.04295885371070278,-0.09391831242446161,0.9,0.01603882445890161,0.03634657518907921,0.14563031849297225,0.94,0.014891791941610093,0.037941469591876886,0.06369942440072093,0.91
scen12,0.008816256111718202,0.07365298705293478,-0.370267420591557,0.91,0.008504108297589174,0.07835959949887433,-0.39256369302934474,0.93,0.016738753942444815,0.03648938628437823,0.1956252816032011,0.94,0.011238050985177406,0.07457804517044961,-0.19728207248732813,0.92
